File Name,Version,Project,License,Comments
com.liferay.adaptive.media.image.impl.jar!metadata-extractor.jar,2.10.0,metadata-extractor,"The Apache Software License, Version 2.0",
com.liferay.adaptive.media.image.impl.jar!xmpcore.jar,5.1.3,XMP Library for Java,The BSD License,
com.liferay.adaptive.media.image.service.jar!jsoup.jar,1.10.2,jsoup Java HTML Parser,The MIT License,
com.liferay.adaptive.media.test.util.jar!jsoup.jar,1.10.2,jsoup Java HTML Parser,The MIT License,
com.liferay.adaptive.media.upload.jar!jsoup.jar,1.10.2,jsoup Java HTML Parser,The MIT License,
com.liferay.alloy.mvc.jar!asm-util.jar,4.1,ASM Utilities,"The Apache Software License, Version 2.0",
com.liferay.alloy.mvc.jar!asm.jar,4.1,ASM Core,"The Apache Software License, Version 2.0",
com.liferay.blogs.service.jar!jericho-html.jar,3.1,Jericho HTML Parser,GNU Lesser General Public License (LGPL),
com.liferay.calendar.api.jar!com.google.ical.jar,20110304,com.google.ical,LGPL 2.1,
com.liferay.calendar.service.jar!backport-util-concurrent.jar,3.1,Backport of JSR 166,Public Domain,
com.liferay.comment.sanitizer.jar!checker-qual.jar,2.5.2,Checker Qual,The MIT License,
com.liferay.comment.sanitizer.jar!error_prone_annotations.jar,2.2.0,error-prone annotations,Apache 2.0,
com.liferay.comment.sanitizer.jar!failureaccess.jar,1.0.1,Guava InternalFutureFailureAccess and InternalFutures,"The Apache Software License, Version 2.0",
com.liferay.comment.sanitizer.jar!guava.jar,27.1-jre,Guava: Google Core Libraries for Java,"The Apache Software License, Version 2.0",
com.liferay.comment.sanitizer.jar!j2objc-annotations.jar,1.1,J2ObjC Annotations,"The Apache Software License, Version 2.0",
com.liferay.comment.sanitizer.jar!listenablefuture.jar,9999.0-empty-to-avoid-conflict-with-guava,Guava ListenableFuture only,"The Apache Software License, Version 2.0",
com.liferay.comment.sanitizer.jar!owasp-java-html-sanitizer.jar,r239,OWASP Java HTML Sanitizer,New BSD License,
com.liferay.commerce.cart.taglib.jar!jackson-annotations.jar,2.9.8,Jackson-annotations,"The Apache Software License, Version 2.0",
com.liferay.commerce.cart.taglib.jar!jackson-core.jar,2.9.8,Jackson-core,"The Apache Software License, Version 2.0",
com.liferay.commerce.cart.taglib.jar!jackson-databind.jar,2.9.9.1,jackson-databind,"The Apache Software License, Version 2.0",
com.liferay.commerce.frontend.impl.jar!jackson-annotations.jar,2.9.8,Jackson-annotations,"The Apache Software License, Version 2.0",
com.liferay.commerce.frontend.impl.jar!jackson-core.jar,2.9.8,Jackson-core,"The Apache Software License, Version 2.0",
com.liferay.commerce.frontend.impl.jar!jackson-databind.jar,2.9.9.1,jackson-databind,"The Apache Software License, Version 2.0",
com.liferay.commerce.payment.method.authorize.net.jar!anet-java-sdk.jar,1.9.9,Authorize.Net Java SDK,SDK License Agreement,
com.liferay.commerce.payment.method.authorize.net.jar!gson.jar,2.8.5,Gson,Apache 2.0,
com.liferay.commerce.payment.method.authorize.net.jar!httpclient.jar,4.5.3,HttpComponents Apache HttpClient,"The Apache Software License, Version 2.0",
com.liferay.commerce.payment.method.authorize.net.jar!httpcore.jar,4.4.6,HttpComponents Apache HttpCore,"The Apache Software License, Version 2.0",
com.liferay.commerce.payment.method.mercanet.jar!commons-lang3.jar,3.8.1,Apache Commons Lang,"Apache License, Version 2.0",
com.liferay.commerce.payment.method.mercanet.jar!httpclient.jar,4.5.3,HttpComponents Apache HttpClient,"The Apache Software License, Version 2.0",
com.liferay.commerce.payment.method.mercanet.jar!httpcore.jar,4.4.6,HttpComponents Apache HttpCore,"The Apache Software License, Version 2.0",
com.liferay.commerce.payment.method.mercanet.jar!jackson-core.jar,2.9.8,Jackson-core,"The Apache Software License, Version 2.0",
com.liferay.commerce.payment.method.mercanet.jar!jackson-databind.jar,2.9.9.1,jackson-databind,"The Apache Software License, Version 2.0",
com.liferay.commerce.payment.method.mercanet.jar!jackson-datatype-jsr310.jar,2.9.8,Jackson datatype: JSR310,"The Apache Software License, Version 2.0",
com.liferay.commerce.payment.method.mercanet.jar!payment-sdk-common.jar,1.0.1,SIPS :: SDK Common,MIT,
com.liferay.commerce.payment.method.paypal.jar!gson.jar,2.2.2,Gson,"The Apache Software License, Version 2.0",
com.liferay.commerce.payment.method.paypal.jar!rest-api-sdk.jar,1.14.0,rest-api-sdk,PayPal SDK License,
com.liferay.commerce.shipping.engine.fedex.jar!com.fedex.ws.jar,1.0.0,com.fedex.ws,LGPL 2.1,
com.liferay.configuration.admin.web.jar!org.apache.felix.fileinstall.jar,3.6.4.LIFERAY-PATCHED-6,Apache Felix File Install,LGPL 2.1,
com.liferay.document.library.document.conversion.jar!juh.jar,2.3.0,"OpenOffice.org ""javaunohelper"" module","GNU Lesser General Public License, Version 2.1",
com.liferay.document.library.document.conversion.jar!jurt.jar,2.3.0,"OpenOffice.org ""jurt"" module","GNU Lesser General Public License, Version 2.1",
com.liferay.document.library.document.conversion.jar!ridl.jar,2.3.0,"OpenOffice.org ""ridljar"" module","GNU Lesser General Public License, Version 2.1",
com.liferay.document.library.document.conversion.jar!unoil.jar,2.3.0,"OpenOffice.org ""unoil"" module","GNU Lesser General Public License, Version 2.1",
com.liferay.document.library.google.docs.jar!org.freemarker.jar,2.3.23.LIFERAY-PATCHED-4,org.freemarker.freemarker,LGPL 2.1,
com.liferay.document.library.repository.cmis.impl.jar!chemistry-opencmis-client-api.jar,0.14.0,OpenCMIS Client API,"Apache License, Version 2.0",
com.liferay.document.library.repository.cmis.impl.jar!chemistry-opencmis-client-bindings.jar,0.14.0,OpenCMIS Client Bindings Implementation,"Apache License, Version 2.0",
com.liferay.document.library.repository.cmis.impl.jar!chemistry-opencmis-client-impl.jar,0.14.0,OpenCMIS Client Implementation,"Apache License, Version 2.0",
